claim,dataset,seed,baseline,final_return,auc,first_success_episode,coverage,mbeta_hat,bound_residual,td_target_variance,gate_sensitivity_slope,reward_channel_dominance,critic_drift_rate
h1,MiniGrid-DoorKey-16x16,11,CCGO_adaptive,0.7406838553450636,0.7031949508061992,169.7483264715156,0.63669078769637,0.1435304573334033,0.024726158069665747,0.0956972635757196,0.9760754892668068,0.26640656848769634,0.1485802560307767
h1,MiniGrid-DoorKey-16x16,11,HER_SAC,0.6513309754939904,0.5780713567968876,176.08227071964487,0.5759030099806952,0.2743135214938772,0.03463110158597587,0.12824513527530113,0.9658229090514584,0.2754164146428941,0.26057095832427773
h1,MiniGrid-DoorKey-16x16,11,RND_fixed_beta,0.5525931871610565,0.509712329925372,178.3698911764972,0.5298830252893637,0.3061948911482296,0.027859463360546403,0.12782402441107255,0.8964758265797417,0.25022608347810904,0.2560991348083442
h1,MiniGrid-DoorKey-16x16,11,ICM_fixed_beta,0.5779449851345551,0.5273373584407908,172.33842382294694,0.5555498142624373,0.3567585371079158,0.03419989401511522,0.14044667807920894,1.0530012833608067,0.2887913069137503,0.23059453374055283
h1,MiniGrid-DoorKey-16x16,11,ACWI_style,0.6069530119703102,0.5689509148192569,180.19287661048645,0.5294625766358397,0.2920758060446668,0.024018330392843252,0.10765985153767149,0.9888504188637898,0.30183412637486573,0.2238362990557258
h1,MiniGrid-DoorKey-16x16,11,Contrastive_always_on,0.6177129414899232,0.5724384867332086,178.1642588730132,0.5740512127432291,0.3273350434667296,0.020280201604568976,0.13363929658249865,1.0221943783473413,0.2359684426857108,0.2594109030616314
h1,MiniGrid-DoorKey-16x16,23,CCGO_adaptive,0.7510652117777747,0.6803520121843895,162.05206007280086,0.5824319171583531,0.1544724125156328,0.008737202155491178,0.09909921217022634,1.0224175901104489,0.2689016994573525,0.2288309503114616
h1,MiniGrid-DoorKey-16x16,23,HER_SAC,0.6259702893966644,0.5692999717253214,170.15762627796522,0.625242168147164,0.2712665593329115,0.027718761961487155,0.11275485495583715,0.9437925463756452,0.2708032635413629,0.24769654937602562
h1,MiniGrid-DoorKey-16x16,23,RND_fixed_beta,0.564122878899484,0.5329058307002246,172.2991090847771,0.5526875340071827,0.3148375099879005,0.03652184899307776,0.1456002573234853,0.9263160984816302,0.29363824785899545,0.33951627049452726
h1,MiniGrid-DoorKey-16x16,23,ICM_fixed_beta,0.5401465118047809,0.49957716951576253,174.23914521052046,0.5982081394113451,0.3765267326767614,0.0250401273686948,0.1407014058847034,0.9803165001940194,0.2773488773369396,0.19662906547935716
h1,MiniGrid-DoorKey-16x16,23,ACWI_style,0.6204916795941432,0.5467892338653983,175.39404610504525,0.5704568188951172,0.33005271903345934,0.04415994789413587,0.11344663936739122,0.9616323390885675,0.31710542658186935,0.20600955107155983
h1,MiniGrid-DoorKey-16x16,23,Contrastive_always_on,0.5821542333626613,0.5605515160140412,164.70504304790578,0.5249362556068965,0.2874388449382437,0.03646975878786131,0.12188485531020206,1.0450053801351846,0.292413827606957,0.26616051760129467
h1,MiniGrid-DoorKey-16x16,47,CCGO_adaptive,0.7266712611977785,0.6779490193153278,151.00211902726852,0.5937979072358615,0.1268422129344829,0.02199411279016509,0.08265897423003664,0.948022520567344,0.23827449943911314,0.17775084569775498
h1,MiniGrid-DoorKey-16x16,47,HER_SAC,0.620091576638294,0.5918582857047919,173.6331403083097,0.606434270461306,0.30745690296626926,0.023704632473354623,0.13602476909050934,0.9058132822939982,0.2781335912536506,0.27027168127498874
h1,MiniGrid-DoorKey-16x16,47,RND_fixed_beta,0.5973098452310159,0.5537868360115206,180.26315813686654,0.5897926628186719,0.33644549962318676,0.04294972840992323,0.1255891523866371,0.8714422208756326,0.2305958443642835,0.3005335789945491
h1,MiniGrid-DoorKey-16x16,47,ICM_fixed_beta,0.573212900953149,0.5213670699060607,172.9103511571517,0.5265531975462993,0.32773719114587,0.028205892476447638,0.13037441694187935,1.0517657115203238,0.3038946183220385,0.2074604037479864
h1,MiniGrid-DoorKey-16x16,47,ACWI_style,0.6226605517629661,0.5809866248079703,174.46773035180655,0.5690756353402229,0.30905788389484873,0.03376245154006924,0.11736892950304878,1.1087269970675107,0.3125933887163457,0.2575245724136101
h1,MiniGrid-DoorKey-16x16,47,Contrastive_always_on,0.5735652966414772,0.5337480768049433,179.930948515521,0.5710881335908441,0.32073567139107867,0.023232079136418476,0.12791340404481125,0.8947486081989023,0.27624356221267415,0.24734299695131992
h1,MiniGrid-DoorKey-16x16,89,CCGO_adaptive,0.7297616599841732,0.6705218886157599,168.85047731757282,0.6609397372207239,0.16210993587872521,0.03336767604040303,0.095160863051316,0.9882479266094506,0.26134706575133804,0.17733561834462858
h1,MiniGrid-DoorKey-16x16,89,HER_SAC,0.6414367524449924,0.556980651329434,172.94705657006114,0.5804517619550293,0.27099195024646794,0.0334355858974615,0.0988928744878308,0.9117831792723791,0.2769676152097063,0.26258999863070476
